Рост x;частота f
154;3
155;6
156;5
157;5
158;7
159;4
160;10
162;8
163;11
164;18
165;12
166;9
167;8
168;17
169;3
170;13
171;1
172;3
173;1
174;3
175;1
179;1

Число опытов (n);149
Стат мат ожид;164.15436241610738
Стат дисперсия;25.539930633755233

Число разрядов по правилу Стержеса;7

Ширина интервала;3.125

Интервал;mi;pi;Сумма mi
"[154.00; 157.12)";17,68;0,118644;17,68
"[157.12; 160.25)";21,21;0,142373;38,89
"[160.25; 163.38)";19,19;0,128814;58,08
"[163.38; 166.50)";39,40;0,264407;97,48
"[166.50; 169.62)";28,28;0,189831;125,77
"[169.62; 172.75)";17,17;0,115254;142,94
"[172.75; 179.00)";6,06;0,033898;149,00

Сумма mi;149.00
Сумма pi;1.000000

Интервал;середина i разряда (xi~);(mi~);(pi~)
"[154.00; 157.12)";155.56;17;0.118644
"[157.12; 160.25)";158.69;21;0.142373
"[160.25; 163.38)";161.81;19;0.128814
"[163.38; 166.50)";164.94;39;0.264407
"[166.50; 169.62)";168.06;28;0.189831
"[169.62; 172.75)";171.19;17;0.115254
"[172.75; 179.00)";174.31;6;0.040678

m~ (expected value);164,2489
D~ (variance);27,1676
sigma~ (std deviation);5,2123

Интервал;p_i (теор.);p_i* (набл.);(p_i* - p_i)^2
"[154.00; 157.12)";0,061218;0,118644;0,003298
"[157.12; 160.25)";0,135627;0,142373;0,000046
"[160.25; 163.38)";0,211946;0,128814;0,006911
"[163.38; 166.50)";0,233664;0,264407;0,000945
"[166.50; 169.62)";0,181745;0,189831;0,000065
"[169.62; 172.75)";0,099723;0,115254;0,000241
"[172.75; 179.00)";0,049121;0,033898;0,000022

Мера расхождения U;14,1679
Критическое значение chi^2:;9,4877

Уровень значимости alpha:;0.05
Степени свободы df:;4

Вывод: отвергаем H0 (распределение не нормальное)
